Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0053,St. Tikhon of Moscow,Patriarch Tikhon,Male,Hierarch; Confessor,Clergy - Bishop; Monastic,Single Adult,,Persecution; Imprisonment,Patience; Courage; Faith; Meekness,Missionary Work,Rus' / Russia; North America,Russian; North American; Pan-Orthodox,Modern,20th,Apr 7; Glorification Oct 9,"Holy Hierarch Tikhon, pray to God for us.",,,"First to organize Orthodoxy in America, later patriarch under persecution.",Bridge between America and Russia.,,,,,Synaxarion
OS-0054,St. Innocent of Alaska,Innocent Veniaminov,Male,Hierarch; Equal-to-the-Apostles; Enlightener; Missionary,Clergy - Bishop; Monastic,Married; Widowed; Parent,Translator; Scholar; Craftsman,Widowhood,Zeal; Perseverance; Charity; Wisdom,Missionary Work,Rus' / Russia; Alaska; North America,Russian; North American; Pan-Orthodox,Modern,19th,Mar 31; Oct 6,"Holy Hierarch and Equal-to-the-Apostles Innocent, pray to God for us.",,,Married priest and later metropolitan who evangelized Alaska and Siberia.,Apostle to America.,,Indication of the Way into the Kingdom of Heaven; Aleut grammar & Scripture translations,,,Synaxarion
OS-0055,St. Raphael of Brooklyn,Raphael Hawaweeny,Male,Hierarch,Clergy - Bishop; Monastic,Single Adult,Teacher; Writer,,Charity; Zeal; Love,Missionary Work,Syria; North America,Antiochian; North American; Pan-Orthodox,Modern,20th,Feb 27 (also 1st Sat of Nov),"Holy Hierarch Raphael, pray to God for us.",,,Antiochian bishop who shepherded Arabic-speaking Orthodox in America.,'Good Shepherd of the lost sheep in America.',,,,,Synaxarion
OS-0056,Holy Prophet Elijah,Elias; Ilias,Male,Prophet,Layperson,Single Adult,,Despondency / Acedia; Fear; Loneliness; Persecution,Zeal; Faith; Courage,Farming / Crops; Protection from Danger,Palestine / Holy Land,Pan-Orthodox,Old Testament,,Jul 20,"Holy Prophet Elijah, pray to God for us.",,,Old Testament prophet of fire who confronted idolatry and was taken to heaven.,Hilltop chapels are often dedicated to him.,"His feast (July 20) is kept at countless hilltop chapels dedicated to 'Profitis Ilias,' a custom especially strong in Greece.",,,,Synaxarion
OS-0057,Holy Prophet Moses,Moses the God-seer,Male,Prophet,Layperson,Married; Parent,Shepherd; Ruler,Exile; Fear,Humility; Faith; Obedience; Perseverance,,Egypt; Sinai,Pan-Orthodox,Old Testament,,Sep 4,"Holy Prophet Moses, pray to God for us.",,,Lawgiver who led Israel out of Egypt and saw God on the mountain.,Foreshadows Christ throughout the liturgy.,,"The Pentateuch (the Five Books of Moses), by tradition",,,Synaxarion
OS-0058,St. Phanourios,Phanourios the Newly-Revealed,Male,Great Martyr,Layperson,Single Adult,Soldier,Persecution; Torture,Courage; Faith,Lost Items; Marriage,Greece,Greek; Pan-Orthodox,Unknown,,Aug 27,"Holy Great Martyr Phanourios, pray to God for us.",,,A martyr whose story was rediscovered through his icon on Rhodes.,Faithful bake 'Phanouropita' when asking his help.,"A simple cake, the 'Phanouropita,' is baked and given away when asking his help — especially to find what is lost — and offered for the repose of his mother.",,,,Synaxarion
OS-0059,Great Martyr Menas,Menas of Egypt; Mina,Male,Great Martyr; Wonderworker,Layperson,Single Adult,Soldier,Persecution; Torture,Courage; Faith,Lost Items; Travel; Protection from Danger,Egypt,Pan-Orthodox; Greek,Pre-Nicene,4th,Nov 11,"Holy Great Martyr Menas, pray to God for us.",,,A soldier-martyr famous for helping recover what is lost or stolen.,Major pilgrimage site in Egypt historically.,,,,,Synaxarion
OS-0060,St. Paraskevi of Rome,Paraskevi the Righteous Martyr,Female,Venerable-Martyr,Layperson,Single Adult,Teacher,Persecution; Torture,Faith; Courage; Purity,Healing,Italy / Rome,Greek; Pan-Orthodox,Pre-Nicene,2nd,Jul 26,"Holy Venerable Martyr Paraskevi, pray to God for us.",,,A martyr especially invoked for diseases of the eyes.,Her name means 'Friday' (Preparation).,,,,,Synaxarion
OS-0061,St. Tryphon,Tryphon of Campsada,Male,Martyr,Layperson,Child; Single Adult,Shepherd; Farmer,Persecution; Torture,Faith; Humility,Farming / Crops; Protection from Illness / Epidemic,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,3rd,Feb 1,"Holy Martyr Tryphon, pray to God for us.",,,A young shepherd-martyr invoked to protect fields and gardens.,Blessing of fields read on his feast.,,,,,Synaxarion
OS-0062,St. Stylianos of Paphlagonia,Stylianos the Protector of Children,Male,Venerable (Monastic); Hermit; Wonderworker,Monastic,Single Adult,,,Love; Charity; Humility,Children; Pregnancy; Healing,Asia Minor,Greek; Pan-Orthodox,Byzantine,6th,Nov 26,"Venerable Father Stylianos, pray to God for us.",,,A hermit who devoted himself to the care and healing of children.,Icon shows him holding a swaddled infant.,,,,,Synaxarion
OS-0063,St. Gerasimos of Kefalonia,Gerasimos the New Ascetic,Male,Venerable (Monastic); Wonderworker; Ascetic,Monastic; Clergy - Priest,Single Adult,,,Charity; Humility; Love,Mental Health; Deliverance from the Occult; Healing,Greece,Greek; Pan-Orthodox,Post-Byzantine,16th,Oct 20; Translation Aug 16,"Venerable Father Gerasimos, pray to God for us.",,,"Ascetic patron of Kefalonia, invoked over those afflicted in mind.",Incorrupt relics on the island.,,,,,Synaxarion
OS-0064,St. Eustathius Placidas,Eustace; Eustathios the Great Martyr,Male,Great Martyr,Layperson; Convert,Married; Parent,Soldier; Officer / General,Persecution; Torture; War,Faith; Patience; Perseverance; Courage,Military Service; Protection from Danger,Italy / Rome,Pan-Orthodox; Greek,Pre-Nicene,2nd,Sep 20,"Holy Great Martyr Eustathius, pray to God for us.",,,"A Roman general converted by a vision while hunting, martyred with his family.",Patron of those enduring family separation.,,,,,Synaxarion
OS-0065,St. Mamas,Mamas of Caesarea,Male,Martyr,Layperson,Child; Single Adult,Shepherd,Persecution; Torture,Faith; Courage; Meekness,Animals / Livestock; Farming / Crops,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,3rd,Sep 2,"Holy Martyr Mamas, pray to God for us.",,,A shepherd-martyr who lived peacefully among wild animals.,Invoked by herdsmen.,,,,,Synaxarion
OS-0066,St. Modestos of Jerusalem,Modestos the Patriarch,Male,Hierarch,Clergy - Bishop,Single Adult,,,Faith; Charity,Animals / Livestock; Farming / Crops,Palestine / Holy Land,Greek; Pan-Orthodox,Byzantine,7th,Dec 18,"Holy Hierarch Modestos, pray to God for us.",,,Patriarch of Jerusalem invoked for the health of livestock.,Blessing of animals read on his feast.,,,,,Synaxarion
OS-0067,St. Charalampos,Haralambos; Charalambos the Hieromartyr,Male,Hieromartyr; Wonderworker,Clergy - Bishop,Single Adult,,Persecution; Torture,Faith; Courage; Perseverance,Protection from Illness / Epidemic; Farming / Crops; Healing,Greece,Greek; Pan-Orthodox,Pre-Nicene,2nd,Feb 10,"Holy Hieromartyr Charalampos, pray to God for us.",,,An aged bishop-martyr invoked against contagious disease.,Popular protector against epidemics.,,,,,Synaxarion
OS-0068,Sts. Cyprian & Justina,Cyprian the Former Sorcerer and Justina,Male & Female,Hieromartyr; Martyr,Clergy - Bishop; Convert; Layperson,Single Adult,,Persecution; Torture; Repentance from grave sin,Repentance; Faith; Purity; Courage,Deliverance from the Occult,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,3rd,Oct 2,"Holy Hieromartyr Cyprian and Martyr Justina, pray to God for us.",,,A former magician converted by a virgin's prayers; both later martyred.,Invoked against occult influence.,,,,,Synaxarion
OS-0069,St. John the Russian,Ioannis o Rossos,Male,Confessor; Righteous; Wonderworker,Layperson,Single Adult,Soldier; Servant / Slave,Captivity; Slavery; Poverty; Persecution,Humility; Patience; Faith; Perseverance,Healing; Protection from Danger,Rus' / Russia; Asia Minor,Russian; Greek; Pan-Orthodox,Post-Byzantine,18th,May 27,"Holy and Righteous John the Russian, pray to God for us.",,,A Russian soldier enslaved in Asia Minor who became a saint in bondage.,"Incorrupt relics on Evia, Greece.",,,,,Synaxarion
OS-0070,St. Arsenios of Cappadocia,Arsenios the Cappadocian,Male,Venerable (Monastic); Wonderworker,Clergy - Priest; Monastic,Single Adult,Teacher,,Charity; Faith; Discernment; Love,Healing; Children; Travel,Asia Minor,Greek; Pan-Orthodox,Modern,20th,Nov 10,"Venerable Father Arsenios, pray to God for us.",,,A village priest-healer; spiritual forefather of St. Paisios.,St. Paisios wrote his life.,,,Saint Arsenios the Cappadocian — by St. Paisios the Athonite,,Synaxarion
OS-0071,St. Anastasia the Deliverer-from-Potions,Anastasia Pharmakolytria,Female,Great Martyr,Layperson,Married; Widowed,Nurse,Persecution; Torture; Imprisonment; Widowhood,Charity; Mercy; Courage; Faith,Healing; Deliverance from the Occult; Protection from Danger,Italy / Rome,Pan-Orthodox; Greek,Pre-Nicene,4th,Dec 22,"Holy Great Martyr Anastasia, pray to God for us.",,,A noblewoman who nursed imprisoned confessors before her own martyrdom.,Name means 'resurrection.',,,,,Synaxarion
OS-0072,St. Irene the Great Martyr,Irene of Thessaloniki,Female,Great Martyr,Layperson; Convert,Single Adult,,Persecution; Torture,Faith; Courage; Purity; Zeal,,Greece,Greek; Pan-Orthodox,Pre-Nicene,4th,May 5,"Holy Great Martyr Irene, pray to God for us.",,,A royal convert who brought many to Christ before her martyrdom.,Invoked for peace and concord.,,,,,Synaxarion
OS-0073,St. Dionysios of Zakynthos,Dionysios the Wonderworker,Male,Hierarch; Wonderworker,Clergy - Bishop; Monastic,Single Adult,,,Forgiveness; Mercy; Love; Humility,,Greece,Greek; Pan-Orthodox,Post-Byzantine,17th,Dec 17; Translation Aug 24,"Holy Hierarch Dionysios, pray to God for us.",,,A bishop famed for forgiving his brother's murderer.,'Saint of forgiveness.',,,,,Synaxarion
OS-0074,St. Ambrose of Optina,Ambrose Optinsky,Male,Venerable (Monastic); Wonderworker,Monastic; Clergy - Priest,Single Adult,,Illness; Chronic Pain,Discernment; Love; Patience; Humility,Mental Health; Healing,Rus' / Russia,Russian; Pan-Orthodox,Modern,19th,Oct 10,"Venerable Father Ambrose, pray to God for us.",,,"The most famous of the Optina Elders, sought by thousands for guidance.",Inspired characters in Dostoevsky.,,Letters of spiritual counsel (the Optina correspondence),,,Synaxarion
OS-0075,St. Joseph the Betrothed,Joseph the Carpenter,Male,Righteous,Layperson,Married; Widowed; Parent,Craftsman,Widowhood,Obedience; Faith; Patience; Humility,Children,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Sunday after the Nativity,"Holy and Righteous Joseph the Betrothed, pray to God for us.",,,The righteous guardian of the Christ Child and protector of His Mother.,Patron of working fathers.,,,,,Synaxarion
OS-0076,Holy Myrrh-bearing Women,The Myrrh-bearers,Female,Myrrh-bearer; Righteous,Layperson,Married; Widowed; Parent,,Grief / Bereavement,Love; Faith; Courage; Perseverance,,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,3rd Sunday of Pascha,"Holy Myrrh-bearing Women, pray to God for us.",,,The women who came to anoint Christ and first learned of His rising.,Honored as a feast for all Orthodox women.,,,,,Synaxarion
OS-0077,St. Euphrosynos the Cook,Euphrosynos the Monastery Cook,Male,Venerable (Monastic),Monastic,Single Adult,,Poverty,Humility; Obedience; Meekness,,Constantinople,Greek; Pan-Orthodox,Byzantine,9th,Sep 11,"Venerable Father Euphrosynos, pray to God for us.",,,A humble monastery cook revealed to be a saint in a brother's vision.,Patron of those in lowly service.,,,,,Synaxarion
OS-0078,St. Lazarus the Four-Days-Dead,Lazarus of Bethany; Bishop of Kition,Male,Righteous; Hierarch,Clergy - Bishop,Single Adult,,Illness; Grief / Bereavement,Faith; Hope; Love,Healing,Palestine / Holy Land; Cyprus,Pan-Orthodox; Greek,Apostolic Age,1st,Lazarus Saturday; Oct 17,"Holy and Righteous Lazarus, pray to God for us.",,,"The friend of Christ raised from the tomb, who later became a bishop in Cyprus.",His raising prefigures the general resurrection.,"On Lazarus Saturday, spiced sweet breads shaped like a swaddled figure ('Lazarakia') are baked in the Greek tradition, and children sing songs recalling his raising.",,,,Synaxarion
OS-0079,"St. Patrick, Enlightener of Ireland",Patrick of Ireland,Male,Hierarch; Enlightener; Missionary,Clergy - Bishop,Single Adult,Shepherd,Captivity; Slavery,Zeal; Faith; Perseverance; Humility,Missionary Work,Ireland,Western (pre-schism); Pan-Orthodox,Byzantine,5th,Mar 17,"Holy Hierarch Patrick, pray to God for us.",,,A former captive who returned to evangelize all Ireland.,Pre-schism Western saint venerated in Orthodoxy.,,The Confession (Confessio); Letter to Coroticus,,,Synaxarion
OS-0080,St. Brigid of Kildare,Brigid; Bride,Female,Venerable (Monastic),Monastic,Single Adult,Farmer,Poverty,Charity; Hospitality; Mercy; Humility,Farming / Crops; Animals / Livestock,Ireland,Western (pre-schism); Pan-Orthodox,Byzantine,6th,Feb 1,"Venerable Mother Brigid, pray to God for us.",,,An Irish abbess renowned for charity and hospitality.,Pre-schism Western saint.,,,,,Synaxarion
OS-0081,St. Genevieve of Paris,Genovefa,Female,Venerable (Monastic),Monastic,Single Adult,,,Faith; Courage; Charity; Perseverance,Protection from Danger; Protection from Illness / Epidemic,Gaul / France,Western (pre-schism); Pan-Orthodox,Byzantine,6th,Jan 3,"Venerable Mother Genevieve, pray to God for us.",,,A holy virgin whose prayers protected Paris in crisis.,Pre-schism Western saint.,,,,,Synaxarion
OS-0082,St. Cuthbert of Lindisfarne,Cuthbert,Male,Hierarch; Wonderworker; Hermit,Clergy - Bishop; Monastic,Single Adult,Shepherd,,Humility; Love; Discernment; Charity,Protection from Illness / Epidemic; Animals / Livestock,England,Western (pre-schism); Pan-Orthodox,Byzantine,7th,Mar 20,"Holy Hierarch Cuthbert, pray to God for us.",,,A beloved English bishop-hermit close to the wild creatures.,Pre-schism Western saint; incorrupt relics at Durham.,,,,,Synaxarion
OS-0083,St. Bede the Venerable,The Venerable Bede,Male,Venerable (Monastic),Monastic; Clergy - Priest,Single Adult,Scholar; Writer; Teacher; Translator,,Wisdom; Humility; Faith; Perseverance,Education,England,Western (pre-schism); Pan-Orthodox,Byzantine,8th,May 27,"Venerable Father Bede, pray to God for us.",,,"Monk and 'father of English history,' learned and humble.",Pre-schism Western saint.,,The Ecclesiastical History of the English People; On the Reckoning of Time; commentaries,,,Synaxarion
OS-0084,St. Gregory the Dialogist,Gregory the Great; Pope of Rome,Male,Hierarch,Clergy - Bishop; Monastic,Single Adult,Writer; Hymnographer,,Humility; Wisdom; Charity,,Italy / Rome,Western (pre-schism); Pan-Orthodox,Byzantine,6th,Mar 12,"Holy Hierarch Gregory the Dialogist, pray to God for us.",,,Pope of Rome who shaped Lenten worship and pastoral care.,Liturgy of the Presanctified Gifts bears his name.,,The Dialogues; the Pastoral Rule; Homilies; the Liturgy of the Presanctified Gifts (attributed),,,Synaxarion
OS-0085,Prophet Zachariah & Righteous Elizabeth,Zacharias and Elisabeth; parents of St. John the Forerunner,Male & Female,Prophet; Righteous,Clergy - Priest,Married; Parent; Childless,,Infertility,Faith; Patience; Hope,Children; Pregnancy; Childbirth,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st BC,Sep 5,"Holy Prophet Zachariah and Righteous Elizabeth, pray to God for us.",,,"The aged, childless parents of St. John the Forerunner; the priest Zachariah was struck mute for doubting the angel and, by tradition, was later slain in the temple",Zachariah's song of praise is the Benedictus (Luke 1); their son is St. John the Baptist,,,,,Synaxarion; Gospel of Luke
OS-0086,"Martyrs Sophia, Faith, Hope & Love","Pistis, Elpis, Agape; Vera, Nadezhda, Lyubov (Slavonic)",Female,Martyr,Layperson,Parent; Child,,Loss of a Child; Persecution; Torture,Faith; Hope; Love; Courage,Children,Italy / Rome,Greek; Russian; Pan-Orthodox,Pre-Nicene,2nd,Sep 17,"Holy Martyrs Sophia, Faith, Hope, and Love, pray to God for us.",,,"A widow named Wisdom (Sophia) and her three young daughters — Faith, Hope, and Love — martyred at Rome under Hadrian; Sophia died days later at their grave","The daughters bear the names of the three theological virtues; in Slavonic, Vera, Nadezhda, and Lyubov",,,,,Synaxarion
OS-0087,St. Silouan the Athonite,Silouan of Mount Athos; Silvanus,Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,Farmer; Soldier,Despondency / Acedia; Temptation,Humility; Love; Perseverance; Repentance,Mental Health,Rus' / Russia; Mt. Athos,Russian; Greek; Pan-Orthodox,Modern,20th,Sep 24,"Venerable Father Silouan, pray to God for us.",,,"A Russian peasant and former soldier who became a monk of St. Panteleimon's on Mount Athos; through deep struggle he received the words, 'Keep your mind in hell, and despair not'",His life and teachings were recorded by his disciple Archimandrite Sophrony (Sakharov); glorified in 1987,,Writings preserved in 'Saint Silouan the Athonite' (compiled by Archim. Sophrony),Saint Silouan the Athonite — by Archimandrite Sophrony (Sakharov),,"Synaxarion; Archim. Sophrony, 'St. Silouan the Athonite'"
OS-0088,St. Chariton the Confessor,Chariton of Palestine; Chariton of Iconium,Male,Venerable (Monastic); Confessor; Hermit,Monastic,Single Adult,,Imprisonment; Torture; Persecution,Faith; Perseverance; Humility,Protection from Danger,Asia Minor; Palestine / Holy Land,Greek; Pan-Orthodox,Byzantine,4th,Sep 28,"Venerable Father Chariton, pray to God for us.",,,"A confessor tortured in the persecutions who survived to found the first monastic lavras of the Judean desert, shaping Palestinian monasticism",Founder of the lavra of Pharan and others; among the earliest organizers of desert monastic life in the Holy Land,,,,,Synaxarion
